"servername","dbname","Table","Index_or_Statistics","T-SQL Drop Command"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K23_K5_K1_K22_24]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K23_K5_K1_K22_24] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K5_K1_K22_K23_24]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K5_K1_K22_K23_24] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K23_K5_K1_K22]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K23_K5_K1_K22] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K5_K1_K22_K23]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K5_K1_K22_K23] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K5_24]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K5_24] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_stat_21575115_5_1_22_23]","USE aBILLity_43258; DROP INDEX [_dta_stat_21575115_5_1_22_23] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_stat_21575115_23_5_1]","USE aBILLity_43258; DROP INDEX [_dta_stat_21575115_23_5_1] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K5_K22_K20_K1_K6_K14_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K5_K22_K20_K1_K6_K14_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K22_K20_K5_K1_K6_K14_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K22_K20_K5_K1_K6_K14_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K20_K22_K1_K6_K14_2_3_4_5_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K20_K22_K1_K6_K14_2_3_4_5_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K1_K6_K5_K14_K22_K20_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K1_K6_K5_K14_K22_K20_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K22_K20_K5_2_3_4_7_8_9_10_11_12_13_17_18_19_21_23_24_25_27_29_30]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K22_K20_K5_2_3_4_7_8_9_10_11_12_13_17_18_19_21_23_24_25_27_29_30] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K1_K6_K22_K20_K5_K14_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K1_K6_K22_K20_K5_K14_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K14_K1_K6_K22_K20_2_3_4_5_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K14_K1_K6_K22_K20_2_3_4_5_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K1_K6_K5_K14_15_16_26_28]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K1_K6_K5_K14_15_16_26_28] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K14_K1_K6_5_15_16_26_28]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K14_K1_K6_5_15_16_26_28] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K5_K1_K6_K14_K22_K20_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K5_K1_K6_K14_K22_K20_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30] ON [dbo].[BillingCdrsFiles];"
"db50","aBILLity_43258","[dbo].[BillingCdrsFiles]","[_dta_index_BillingCdrsFiles_7_21575115__K5_K1_K6_K22_K20_K14_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30]","USE aBILLity_43258; DROP INDEX [_dta_index_BillingCdrsFiles_7_21575115__K5_K1_K6_K22_K20_K14_2_3_4_7_8_9_10_11_12_13_15_16_17_18_19_21_23_24_25_26_27_28_29_30] ON [dbo].[BillingCdrsFiles];"
