"servername","dbname","Table","Index_or_Statistics","T-SQL Drop Command"
"dbuk02","abillity_42712","[dbo].[Defaultvalues]","[_dta_index_Defaultvalues_31_149575571__K1_2_3_4_5]","USE abillity_42712; DROP INDEX [_dta_index_Defaultvalues_31_149575571__K1_2_3_4_5] ON [dbo].[Defaultvalues];"
"dbuk02","abillity_42712","[dbo].[Defaultvalues]","[_dta_index_Defaultvalues_31_149575571__K1_2_3_4_5_9987]","USE abillity_42712; DROP INDEX [_dta_index_Defaultvalues_31_149575571__K1_2_3_4_5_9987] ON [dbo].[Defaultvalues];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K93_3]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K93_3] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_3_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_3_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K93_K1_3]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K93_K1_3] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K81_K19_K18_K20_K41_K45_K3_K2_K1_K22_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K81_K19_K18_K20_K41_K45_K3_K2_K1_K22_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K22_K19_K18_K20_K41_K45_K3_K2_K1_K81_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K22_K19_K18_K20_K41_K45_K3_K2_K1_K81_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K3]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K3] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K3_K1_K45_K81_K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K3_K1_K45_K81_K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K2]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K2] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K25_K20_K1_K45_K3_K81_K22_K19_K18_K41_K2_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K25_K20_K1_K45_K3_K81_K22_K19_K18_K41_K2_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K45]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K45] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K19_K18_K20_K41_K45_K3_K2_K25_K1_K22_K81_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K19_K18_K20_K41_K45_K3_K2_K25_K1_K22_K81_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K19]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K19] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K18_K1_K45_K3_K81_K22_K19_K20_K41_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K18_K1_K45_K3_K81_K22_K19_K20_K41_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K18_K19_K20_K41_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K18_K19_K20_K41_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K3_K1_K45_K81_K22_K19_K18_K20_K41_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K3_K1_K45_K81_K22_K19_K18_K20_K41_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K45_K1_K3_K81_K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K45_K1_K3_K81_K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K18]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K18] ON [dbo].[incidents];"
